iter	MultiClass
0	1.821125569
1	1.717823442
2	1.627846476
3	1.546829934
4	1.475995335
5	1.412161686
6	1.355254814
7	1.301464146
8	1.251427618
9	1.20148108
10	1.161630987
11	1.124658172
12	1.088420044
13	1.054117236
14	1.022102389
15	0.9882078466
16	0.9603892414
17	0.9338938542
18	0.9092731121
19	0.8857803595
20	0.85787755
21	0.8363749538
22	0.8099866744
23	0.7876193134
24	0.7654769229
25	0.7488095303
26	0.729958171
27	0.7109251967
28	0.6908203466
29	0.6724016103
30	0.6564341367
31	0.6410338131
32	0.6230936906
33	0.6068704041
34	0.5947189972
35	0.5839856912
36	0.5692501541
37	0.5548184634
38	0.5426138129
39	0.5301542894
40	0.517991905
41	0.5070789663
42	0.4978736136
43	0.4882901528
44	0.4795397776
45	0.4687658502
46	0.4589718872
47	0.4508669559
48	0.4408616919
49	0.431700024
50	0.4245230544
51	0.4168597357
52	0.4084977848
53	0.3992585641
54	0.3903213243
55	0.3852999569
56	0.3778646779
57	0.3712352994
58	0.363167607
59	0.3562756647
60	0.3498642647
61	0.3436085551
62	0.3383495977
63	0.3321866693
64	0.3264728158
65	0.3211527214
66	0.3172154489
67	0.3113012489
68	0.3063218157
69	0.3008998805
70	0.2954592169
71	0.2905450381
72	0.2855244066
73	0.280974221
74	0.2763436711
75	0.272229893
76	0.268035633
77	0.2647916592
78	0.2615525946
79	0.2582064346
80	0.2552901912
81	0.2525808965
82	0.2487559776
83	0.2453200305
84	0.2427203976
85	0.2393415299
86	0.2361904994
87	0.2331151852
88	0.2298867514
89	0.2269874581
90	0.223286686
91	0.2198732195
92	0.2173778309
93	0.214366991
94	0.21227546
95	0.2095065656
96	0.2060486647
97	0.2037833871
98	0.2014750683
99	0.1985023694
