iter	Passed	Remaining
0	258	25594
1	356	17467
2	454	14709
3	552	13262
4	705	13410
5	835	13092
6	937	12460
7	1030	11855
8	1120	11331
9	1218	10967
10	1325	10723
11	1426	10460
12	1518	10159
13	1627	9997
14	1730	9808
15	1829	9604
16	1923	9390
17	2024	9220
18	2121	9046
19	2218	8875
20	2324	8743
21	2433	8626
22	2520	8437
23	2607	8255
24	2694	8082
25	2786	7930
26	2881	7791
27	2985	7677
28	3081	7545
29	3177	7414
30	3275	7291
31	3376	7174
32	3477	7060
33	3568	6927
34	3656	6790
35	3749	6665
36	3850	6555
37	3957	6456
38	4058	6348
39	4160	6240
40	4257	6127
41	4391	6065
42	4501	5966
43	4613	5871
44	4716	5764
45	4830	5671
46	4940	5571
47	5054	5475
48	5173	5384
49	5473	5473
50	5596	5377
51	5706	5267
52	5811	5153
53	5928	5050
54	6074	4970
55	6284	4938
56	6414	4838
57	6514	4717
58	6623	4602
59	6730	4486
60	6842	4374
61	6940	4253
62	7049	4140
63	7156	4025
64	7267	3913
65	7380	3802
66	7496	3692
67	7598	3575
68	7704	3461
69	7813	3348
70	7921	3235
71	8017	3117
72	8118	3002
73	8228	2891
74	8348	2782
75	8463	2672
76	8563	2558
77	8685	2449
78	8790	2336
79	8890	2222
80	8998	2110
81	9101	1997
82	9213	1887
83	9335	1778
84	9452	1668
85	9561	1556
86	9666	1444
87	9777	1333
88	9876	1220
89	9974	1108
90	10081	997
91	10187	885
92	10301	775
93	10408	664
94	10522	553
95	10623	442
96	10732	331
97	10845	221
98	10944	110
99	11045	0
