Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
50184,1,1,54,108,54,54,54.0,0.0,108,108,108.0,0.0,3228.120516,39.85333971,50184.0,0.0,50184,50184,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.92666985,19.92666985,54,108,72.0,31.17691454,972.0,0,0,0,0,0,0,0,0,1,108.0,54.0,108.0,20,0,0,0,0,0,0,1,54,1,108,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
170,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,1105882.353,23529.41176,56.66666667,94.69072464,166,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,40,11764.70588,11764.70588,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,40,0,0,0,0,0,0,2,78,2,110,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5309842,9,7,381,6121,194,0,42.33333333,69.39380376,2636,0,874.4285714,1001.532801,1224.518545,3.013272335,353989.4667,1303498.638,5064776,4,5309842,663730.25,1778791.525,5064776,4,111527,18587.83333,21811.32966,52234,398,0,0,0,0,192,152,1.694965688,1.318306646,0,2636,382.4705882,747.4378835,558663.3897,0,0,0,1,0,0,0,0,0,406.375,42.33333333,874.4285714,192,0,0,0,0,0,0,9,381,7,6121,8192,946,8,20,245062.0,0.0,245062,245062,5064776.0,0.0,5064776,5064776,BENIGN
4036939,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,5.9450985020000005,0.99084975,1345646.333,2329857.507,4035934,49,4036939,1345646.333,2329857.507,4035934,49,0,0.0,0.0,0,0,0,0,0,0,80,0,0.99084975,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
825477,3,5,26,11607,20,0,8.666666667000001,10.26320288,10135,0,2321.4,4413.201989,14092.45806,9.691366325,117925.2857,311465.291,824262,5,835,417.5,366.9884194,677,158,825460,206365.0,411931.5581,824262,5,0,0,0,0,72,112,3.634262372,6.057103953,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
72296510,8,5,56,11607,20,0,7.0,5.6568542489999984,10135,0,2321.4,4413.201989,161.32175669999998,0.1798150419999999,6024709.167,17500000.0,60600000,0,71400000,10200000.0,22600000.0,60600000,0,898198,224549.5,448499.7623,897299,5,0,0,0,0,172,112,0.110655411,0.069159632,0,10135,833.5,2705.044255,7317264.422999999,0,0,0,0,1,0,0,0,0,897.6153846000003,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,5.0,0.0,5,5,35700000.0,35200000.0,60600000,10800000,DoS
696500,3,5,26,11607,20,0,8.666666667000001,10.26320288,10135,0,2321.4,4413.201989,16702.08184,11.48600144,99500.0,262866.0398,695624,14,611,305.5,354.2604974,556,55,696478,174119.5,347669.7679,695624,14,0,0,0,0,72,112,4.307250538,7.1787508970000005,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
12106680,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1.982376671,0.330396112,4035560.0,6988931.547,12100000,3,12100000,4035560.0,6988931.547,12100000,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.330396112,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,997.0,0.0,997,997,12100000.0,0.0,12100000,12100000,DoS
1568475,3,5,26,11607,20,0,8.666666667000001,10.26320288,10135,0,2321.4,4413.201989,7416.758315999999,5.100495704,224067.8571,592413.3737,1567535,4,709,354.5,474.4686502,690,19,1568455,392113.75,783614.2259999998,1567535,4,0,0,0,0,72,112,1.912685889,3.187809815,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
37430,3,5,26,11601,20,0,8.666666667000001,10.26320288,4380,0,2320.2,2207.341206,310633.1819,213.7323003,5347.142857,11117.66826,29949,4,30031,15015.5,21229.46689,30027,4,37352,9338.0,14301.83345,30294,186,0,0,0,0,72,112,80.14961261,133.5826877,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
